"Date","KODEX 200_Close","KODEX 200_NAV","KODEX 200_Premium"
2009-04-17,17370,17405.11,-0.2
2009-04-20,17480,17539.58,-0.34
2009-04-21,17480,17503.92,-0.14
2009-04-22,17715,17749.5,-0.19
2009-04-23,17895,17925.57,-0.17
2009-04-24,17690,17725.79,-0.2
2009-04-27,17495,17525.69,-0.18
2009-04-28,17025,16836.84,1.12
2009-04-29,17325,17325.27,0
2009-04-30,17700,17726.68,-0.15
2009-05-04,18020,18097.1,-0.43
2009-05-06,17985,18002.42,-0.1
2009-05-07,18060,18094.31,-0.19
2009-05-08,18200,18223.68,-0.13
2009-05-11,18220,18258.24,-0.21
2009-05-12,18060,18094.04,-0.19
2009-05-13,18200,18233.39,-0.18
2009-05-14,17730,17736.36,-0.04
2009-05-15,17870,17894.26,-0.14
2009-05-18,17800,17842.78,-0.24
2009-05-19,18350,18394.49,-0.24
2009-05-20,18450,18502.76,-0.29
2009-05-21,18265,18312.72,-0.26
2009-05-22,18020,18030.79,-0.06
2009-05-25,17990,17972.99,0.09
2009-05-26,17560,17591.81,-0.18
2009-05-27,17500,17491.61,0.05
2009-05-28,17840,17937.81,-0.55
2009-05-29,17990,17989.6,0
2009-06-01,18195,18216.28,-0.12
2009-06-02,18150,18170.88,-0.11
2009-06-03,18120,18152.37,-0.18
2009-06-04,17625,17690.87,-0.37
2009-06-05,17890,17894.05,-0.02
2009-06-08,17860,17883.38,-0.13
2009-06-09,17565,17604.25,-0.22
2009-06-10,18190,18213.45,-0.13
2009-06-11,18320,18269.29,0.28
2009-06-12,18330,18400.89,-0.39
2009-06-15,18150,18197.98,-0.26
2009-06-16,17985,18024.2,-0.22
2009-06-17,17900,17917.3,-0.1
2009-06-18,17660,17692.64,-0.18
2009-06-19,17780,17802.63,-0.13
2009-06-22,18000,18039.91,-0.22
2009-06-23,17540,17570.13,-0.17
2009-06-24,17600,17648.82,-0.28
2009-06-25,17955,18027.75,-0.4
2009-06-26,18050,18066.93,-0.09
2009-06-29,18010,18036.58,-0.15
2009-06-30,18030,18056.78,-0.15
2009-07-01,18310,18356.52,-0.25
2009-07-02,18290,18349.71,-0.33
2009-07-03,18390,18455.34,-0.35
2009-07-06,18535,18616.04,-0.44
2009-07-07,18620,18677.59,-0.31
2009-07-08,18585,18639.61,-0.29
2009-07-09,18620,18637.72,-0.1
2009-07-10,18570,18623.51,-0.29
2009-07-13,18000,17980.78,0.11
2009-07-14,18075,18106.18,-0.17
2009-07-15,18540,18593.27,-0.29
2009-07-16,18765,18796.87,-0.17
2009-07-17,18860,18890.19,-0.16
2009-07-20,19400,19402.29,-0.01
2009-07-21,19485,19541.97,-0.29
2009-07-22,19575,19608.04,-0.17
2009-07-23,19585,19619.17,-0.17
2009-07-24,19650,19690.69,-0.21
2009-07-27,19920,19980.57,-0.3
2009-07-28,19980,20028.49,-0.24
2009-07-29,19975,19947.24,0.14
2009-07-30,20095,20111.51,-0.08
2009-07-31,20420,20422.59,-0.01
2009-08-03,20455,20507.41,-0.26
2009-08-04,20490,20537.79,-0.23
2009-08-05,20405,20449.15,-0.22
2009-08-06,20480,20504.57,-0.12
2009-08-07,20585,20623.16,-0.19
2009-08-10,20580,20602.51,-0.11
2009-08-11,20600,20622.21,-0.11
2009-08-12,20385,20391.84,-0.03
2009-08-13,20500,20373.6,0.62
2009-08-14,20740,20776.91,-0.18
2009-08-17,20155,20173.85,-0.09
2009-08-18,20225,20260.42,-0.17
2009-08-19,20200,20237.54,-0.19
2009-08-20,20620,20659.08,-0.19
2009-08-21,20750,20765.86,-0.08
2009-08-24,21170,21203.59,-0.16
2009-08-25,21030,21042.64,-0.06
2009-08-26,21160,21196.85,-0.17
2009-08-27,20960,20998.37,-0.18
2009-08-28,21065,21106.45,-0.2
2009-08-31,20840,20871.1,-0.15
2009-09-01,21315,21325.51,-0.05
2009-09-02,21195,21196.09,-0.01
2009-09-03,21175,21205.27,-0.14
2009-09-04,21120,21126.06,-0.03
2009-09-07,21095,21122.03,-0.13
2009-09-08,21250,21293.17,-0.2
2009-09-09,21140,21164.52,-0.12
2009-09-10,21600,21644.98,-0.21
2009-09-11,21715,21735.9,-0.1
2009-09-14,21490,21489.31,0
2009-09-15,21735,21763.41,-0.13
2009-09-16,22220,22214.96,0.02
2009-09-17,22350,22395.9,-0.2
2009-09-18,22380,22399.54,-0.09
2009-09-21,22315,22344.31,-0.13
2009-09-22,22620,22689.94,-0.31
2009-09-23,22600,22636.28,-0.16
2009-09-24,22385,22404.33,-0.09
2009-09-25,22300,22352.2,-0.23
2009-09-28,22110,22129.73,-0.09
2009-09-29,22305,22322.52,-0.08
2009-09-30,22160,22143.67,0.07
2009-10-01,21755,21757.33,-0.01
2009-10-05,21195,21197.21,-0.01
2009-10-06,21080,21085.31,-0.03
2009-10-07,21075,21056.76,0.09
2009-10-08,21225,21262.65,-0.18
2009-10-09,21700,21724.08,-0.11
2009-10-12,21590,21591.87,-0.01
2009-10-13,21440,21481.06,-0.19
