"Date","VKOSPI_Close","VKOSPI_Change"
2008-01-02,27.01,7.48
2008-01-03,26.11,-3.33
2008-01-04,24.97,-4.37
2008-01-07,27.66,10.77
2008-01-08,26.65,-3.65
2008-01-09,25.95,-2.63
2008-01-10,26.02,0.27
2008-01-11,26.5,1.84
2008-01-14,27.06,2.11
2008-01-15,26.3,-2.81
2008-01-16,28.34,7.76
2008-01-17,27.58,-2.68
2008-01-18,27.4,-0.65
2008-01-21,29.43,7.41
2008-01-22,44.6,51.55
2008-01-23,35.94,-19.42
2008-01-24,31.48,-12.41
2008-01-25,28.25,-10.26
2008-01-28,33.96,20.21
2008-01-29,32.08,-5.54
2008-01-30,33.16,3.37
2008-01-31,31.39,-5.34
2008-02-01,29.71,-5.35
2008-02-04,29.05,-2.22
2008-02-05,28.4,-2.24
2008-02-11,32.99,16.16
2008-02-12,31.93,-3.21
2008-02-13,33.25,4.13
2008-02-14,31.68,-4.72
2008-02-15,30.44,-3.91
2008-02-18,29.64,-2.63
2008-02-19,28.76,-2.97
2008-02-20,31.53,9.63
2008-02-21,30.42,-3.52
2008-02-22,31.26,2.76
2008-02-25,30.79,-1.5
2008-02-26,30.21,-1.88
2008-02-27,28.89,-4.37
2008-02-28,28.76,-0.45
2008-02-29,29.21,1.56
2008-03-03,30.99,6.09
2008-03-04,30.18,-2.61
2008-03-05,30.88,2.32
2008-03-06,29.1,-5.76
2008-03-07,30.99,6.49
2008-03-10,32.86,6.03
2008-03-11,32.48,-1.16
2008-03-12,29.97,-7.73
2008-03-13,33.86,12.98
2008-03-14,32.6,-3.72
2008-03-17,38.96,19.51
2008-03-18,37.12,-4.72
2008-03-19,31.86,-14.17
2008-03-20,30.76,-3.45
2008-03-21,27.65,-10.11
2008-03-24,28.84,4.3
2008-03-25,27.8,-3.61
2008-03-26,27.73,-0.25
2008-03-27,27.68,-0.18
2008-03-28,26.2,-5.35
2008-03-31,27.05,3.24
2008-04-01,27.47,1.55
2008-04-02,26.38,-3.97
2008-04-03,26.93,2.08
2008-04-04,27.51,2.15
2008-04-07,28.29,2.84
2008-04-08,28.56,0.95
2008-04-10,26.54,-7.07
2008-04-11,25.19,-5.09
2008-04-14,26.46,5.04
2008-04-15,25.86,-2.27
2008-04-16,25.3,-2.17
2008-04-17,24.07,-4.86
2008-04-18,24.06,-0.04
2008-04-21,23.29,-3.2
2008-04-22,23.81,2.23
2008-04-23,23.4,-1.72
2008-04-24,23.64,1.03
2008-04-25,22.61,-4.36
2008-04-28,23.17,2.48
2008-04-29,22.41,-3.28
2008-04-30,22.04,-1.65
2008-05-02,21.79,-1.13
2008-05-06,21.17,-2.85
2008-05-07,21.16,-0.05
2008-05-08,20.59,-2.69
2008-05-09,21.49,4.37
2008-05-13,20.41,-5.03
2008-05-14,20.88,2.3
2008-05-15,20.74,-0.67
2008-05-16,20.86,0.58
2008-05-19,22.31,6.95
2008-05-20,22.7,1.75
2008-05-21,23.84,5.02
2008-05-22,23.6,-1.01
2008-05-23,23.38,-0.93
2008-05-26,24.52,4.88
2008-05-27,23.6,-3.75
2008-05-28,23.99,1.65
2008-05-29,23.13,-3.58
2008-05-30,23.06,-0.3
2008-06-02,23.63,2.47
2008-06-03,24.54,3.85
2008-06-04,23.88,-2.69
2008-06-05,23.13,-3.14
2008-06-09,25.03,8.21
2008-06-10,26.03,4
2008-06-11,24.78,-4.8
2008-06-12,25.6,3.31
2008-06-13,24.11,-5.82
2008-06-16,22.04,-8.59
2008-06-17,21.89,-0.68
2008-06-18,21.63,-1.19
2008-06-19,22.93,6.01
2008-06-20,22.81,-0.52
2008-06-23,23.35,2.37
2008-06-24,23.46,0.47
2008-06-25,23.7,1.02
2008-06-26,23.5,-0.84
2008-06-27,24.71,5.15
2008-06-30,25.15,1.78
2008-07-01,24.87,-1.11
2008-07-02,24.94,0.28
2008-07-03,25.35,1.64
2008-07-04,25.09,-1.03
2008-07-07,25.1,0.04
2008-07-08,26.55,5.78
2008-07-09,25.93,-2.34
2008-07-10,25.79,-0.54
2008-07-11,24.67,-4.34
2008-07-14,26.3,6.61
2008-07-15,28.1,6.84
2008-07-16,28.71,2.17
2008-07-17,26.41,-8.01
2008-07-18,27.09,2.57
2008-07-21,26.58,-1.88
2008-07-22,26.75,0.64
2008-07-23,24.6,-8.04
2008-07-24,24.11,-1.99
2008-07-25,25.29,4.89
2008-07-28,25.49,0.79
2008-07-29,25.64,0.59
2008-07-30,24.53,-4.33
2008-07-31,23.82,-2.89
2008-08-01,24.62,3.36
2008-08-04,25.87,5.08
2008-08-05,25.61,-1.01
2008-08-06,24.59,-3.98
2008-08-07,25,1.67
2008-08-08,24.73,-1.08
2008-08-11,25.56,3.36
2008-08-12,25,-2.19
2008-08-13,24.81,-0.76
2008-08-14,23.21,-6.45
2008-08-18,22.41,-3.45
2008-08-19,23.94,6.83
2008-08-20,23.92,-0.08
2008-08-21,24.45,2.22
2008-08-22,24.39,-0.25
2008-08-25,25.56,4.8
2008-08-26,25.4,-0.63
2008-08-27,25.37,-0.12
2008-08-28,25.33,-0.16
2008-08-29,25.66,1.3
2008-09-01,26.79,4.4
2008-09-02,26.65,-0.52
2008-09-03,26.39,-0.98
2008-09-04,25.83,-2.12
2008-09-05,26.25,1.63
2008-09-08,25.99,-0.99
2008-09-09,26.85,3.31
2008-09-10,27.69,3.13
2008-09-11,28.33,2.31
2008-09-12,28.36,0.11
2008-09-16,37.42,31.95
2008-09-17,33.82,-9.62
2008-09-18,37.6,11.18
2008-09-19,35.58,-5.37
