stage,C,l1_ratio,best_cutoff,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,valid_log_loss,valid_roc_auc,valid_pr_auc,tn,fp,fn,tp
refine,0.13593563908785256,0.567,0.3775809289766563,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.506610702490466,0.7192396446290528,0.3311794787261831,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.583,0.37730026985484183,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5066403759897383,0.7190204222914504,0.3317490631722198,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.6,0.3774246267070559,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5066823469374089,0.7189108111226492,0.33214851677095936,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.617,0.3773294305417951,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5067360728558581,0.7188819660782279,0.3333018257791627,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.633,0.37773367784647693,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5067985602849924,0.7185877466251298,0.33349076548279016,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.65,0.37791964173490367,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5068790693822627,0.7183223722164531,0.3342595101372995,732.0,338.0,56.0,106.0
refine,0.11885022274370184,0.617,0.3779722341914777,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5070830617332152,0.7183973693319488,0.33302707990278074,732.0,338.0,56.0,106.0
refine,0.11885022274370184,0.633,0.37811246771230805,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5071212617577702,0.7182242990654206,0.3336163633804765,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.717,0.3765406614501142,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5073733735068097,0.7172954886350525,0.3351721689723846,732.0,338.0,56.0,106.0
refine,0.13593563908785256,0.733,0.37681956135276634,0.6801948051948052,0.23873873873873874,0.654320987654321,0.6841121495327103,0.34983498349834985,0.6690507733711721,0.5075434151632455,0.716862812968732,0.3349723088819455,732.0,338.0,56.0,106.0
refine,0.10391223038351693,0.833,0.38,0.689935064935065,0.24299065420560748,0.6419753086419753,0.697196261682243,0.3525423728813559,0.6690162817730891,0.5094921763859628,0.7096284758278528,0.33526020164967496,746.0,324.0,58.0,104.0
coarse,0.1778279410038923,0.7,0.3685544496203539,0.6655844155844156,0.2329059829059829,0.6728395061728395,0.6644859813084112,0.346031746031746,0.6686496986631535,0.5073856329429224,0.7181954540209992,0.33404562422195744,711.0,359.0,53.0,109.0
refine,0.1778279410038923,0.7,0.3685544496203539,0.6655844155844156,0.2329059829059829,0.6728395061728395,0.6644859813084112,0.346031746031746,0.6686496986631535,0.5073856329429224,0.7181954540209992,0.33404562422195744,711.0,359.0,53.0,109.0
refine,0.1778279410038923,0.717,0.3681373515461344,0.6655844155844156,0.2329059829059829,0.6728395061728395,0.6644859813084112,0.346031746031746,0.6686496986631535,0.5076585354567954,0.7178377754701742,0.3341832037941993,711.0,359.0,53.0,109.0
refine,0.1778279410038923,0.733,0.3670924877294704,0.6655844155844156,0.2329059829059829,0.6728395061728395,0.6644859813084112,0.346031746031746,0.6686496986631535,0.5079417830855333,0.7175781700703819,0.33451443886169463,711.0,359.0,53.0,109.0
refine,0.15547718420411735,0.567,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.506350939507269,0.7193319487712011,0.3323236830780669,744.0,326.0,58.0,104.0
refine,0.15547718420411735,0.583,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.506454017217802,0.7193031037267797,0.33312005174298254,744.0,326.0,58.0,104.0
refine,0.15547718420411735,0.6,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.5065777928543732,0.7190146532825661,0.3325610288470996,744.0,326.0,58.0,104.0
refine,0.15547718420411735,0.617,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.5066969739117178,0.7187435098650052,0.33239843162480426,744.0,326.0,58.0,104.0
refine,0.15547718420411735,0.633,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.5067872503456843,0.7185935156340141,0.33283446175034737,744.0,326.0,58.0,104.0
coarse,0.1778279410038923,0.75,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.508273586386552,0.717283950617284,0.3346576301302292,744.0,326.0,58.0,104.0
refine,0.1778279410038923,0.75,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.508273586386552,0.717283950617284,0.3346576301302292,744.0,326.0,58.0,104.0
refine,0.10391223038351693,0.817,0.38,0.6883116883116883,0.24186046511627907,0.6419753086419753,0.6953271028037383,0.35135135135135137,0.6681188752232348,0.5092466788675744,0.7101649936540904,0.3348589151188537,744.0,326.0,58.0,104.0
refine,0.11885022274370184,0.5,0.4022419919948956,0.7256493506493507,0.26216216216216215,0.5987654320987654,0.7448598130841122,0.36466165413533835,0.6678295499858584,0.5070764913962212,0.719626168224299,0.32913579647833285,797.0,273.0,65.0,97.0
coarse,0.1,0.45,0.4017531349411898,0.7256493506493507,0.26216216216216215,0.5987654320987654,0.7448598130841122,0.36466165413533835,0.6678295499858584,0.5083129194434601,0.719476173993308,0.3279331540438508,797.0,273.0,65.0,97.0
coarse,0.05623413251903491,0.15,0.4,0.7313311688311688,0.2659279778393352,0.5925925925925926,0.7523364485981309,0.367112810707457,0.6677042807835443,0.5161095673345016,0.7228395061728394,0.32186316018348665,805.0,265.0,66.0,96.0
refine,0.15547718420411735,0.75,0.37984788278828374,0.6875,0.24129930394431554,0.6419753086419753,0.694392523364486,0.35075885328836426,0.6676697196261007,0.507951161395544,0.7167128187377408,0.3346238216001965,743.0,327.0,58.0,104.0
refine,0.11885022274370184,0.85,0.3779619386241555,0.6875,0.24129930394431554,0.6419753086419753,0.694392523364486,0.35075885328836426,0.6676697196261007,0.5096815206256472,0.7107592015691704,0.33598089967498096,743.0,327.0,58.0,104.0
refine,0.10391223038351693,0.85,0.3788147882275551,0.6875,0.24129930394431554,0.6419753086419753,0.694392523364486,0.35075885328836426,0.6676697196261007,0.5097968506053037,0.709040036921657,0.33558908271440546,743.0,327.0,58.0,104.0
refine,0.11885022274370184,0.8,0.38,0.6923701298701299,0.24349881796690306,0.6358024691358025,0.7009345794392523,0.35213675213675216,0.6675746672171899,0.5086223950063659,0.7133148725049037,0.3363073685955181,750.0,320.0,59.0,103.0
refine,0.13593563908785256,0.517,0.3760646695808235,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5065692257585397,0.7194761739933079,0.32996423422422955,721.0,349.0,55.0,107.0
refine,0.13593563908785256,0.5,0.3763413105179392,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.506569964170671,0.7197588554286373,0.3299833326726163,721.0,349.0,55.0,107.0
refine,0.13593563908785256,0.533,0.37622448380195683,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5065749471160866,0.7194069458866967,0.3307931944344628,721.0,349.0,55.0,107.0
refine,0.13593563908785256,0.55,0.37552125706466793,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5065883824057572,0.7192338756201685,0.3307088798268253,721.0,349.0,55.0,107.0
refine,0.15547718420411735,0.65,0.37340235020371815,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.506898070492059,0.7185012114918656,0.3334214240041023,721.0,349.0,55.0,107.0
refine,0.13593563908785256,0.667,0.3738094057928099,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5069757945496574,0.7182242990654206,0.33459103815585306,721.0,349.0,55.0,107.0
refine,0.15547718420411735,0.667,0.3738189181723823,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5070256332520451,0.7182416060920734,0.3337023975690356,721.0,349.0,55.0,107.0
refine,0.13593563908785256,0.683,0.37404595918000205,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5070833350926424,0.7178493134879427,0.33477931914219994,721.0,349.0,55.0,107.0
refine,0.15547718420411735,0.683,0.373718475767754,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5071623319700943,0.7181204569055036,0.3338902158654922,721.0,349.0,55.0,107.0
refine,0.13593563908785256,0.7,0.3737642556642345,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5072171130080769,0.7175608630437291,0.3350574063267012,721.0,349.0,55.0,107.0
refine,0.15547718420411735,0.7,0.37350076312358255,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5073270214583003,0.7177800853813315,0.3342173782031846,721.0,349.0,55.0,107.0
refine,0.15547718420411735,0.717,0.372592744842977,0.672077922077922,0.23464912280701755,0.6604938271604939,0.6738317757009346,0.34627831715210355,0.6671294689901367,0.5075141672476535,0.7175839390792662,0.33468935661468224,721.0,349.0,55.0,107.0
