stage,C,l1_ratio,valid_accuracy,valid_precision,valid_recall,valid_specificity,valid_f1,valid_gmean,valid_log_loss,valid_roc_auc,valid_pr_auc,tn,fp,fn,tp
coarse,10.0,0.1,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5149876419950239,0.7081458405445944,0.34135694670788824,890,180,87,75
refine,10.0,0.1,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5149876419950239,0.7081458405445944,0.34135694670788824,890,180,87,75
refine,10.0,0.113,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5150173089766641,0.7081227645090573,0.34135595870232477,890,180,87,75
refine,10.0,0.125,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5150447633458847,0.7081054574824045,0.341346042691112,890,180,87,75
refine,8.743124580220735,0.263,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5150739136412315,0.7082150686512056,0.3414140959749446,890,180,87,75
refine,10.0,0.138,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5150745811405202,0.7080996884735202,0.34140798213781876,890,180,87,75
refine,11.437558630495383,0.0,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5150853510033224,0.7080016153224875,0.34138074009670777,890,180,87,75
coarse,10.0,0.15,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.515102038962983,0.7080996884735201,0.3414008516634158,890,180,87,75
refine,10.0,0.15,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.515102038962983,0.7080996884735201,0.3414008516634158,890,180,87,75
refine,8.743124580220735,0.275,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.51510546049353,0.7081919926156687,0.34140533351475455,890,180,87,75
refine,11.437558630495383,0.013,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151115208306888,0.7079900773047191,0.34138293819479215,890,180,87,75
refine,10.0,0.163,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151320052089237,0.7080766124379831,0.3414234022199752,890,180,87,75
refine,11.437558630495383,0.025,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151357314610248,0.7080016153224876,0.34138284898967886,890,180,87,75
refine,8.743124580220735,0.288,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151397357314754,0.7081862236067843,0.34144032879037295,890,180,87,75
refine,10.0,0.175,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151597368856753,0.7080477673935618,0.34138079131113436,890,180,87,75
refine,11.437558630495383,0.038,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.5151620182117803,0.7079843082958347,0.34137290113660373,890,180,87,75
refine,8.743124580220735,0.3,0.7832792207792207,0.29411764705882354,0.46296296296296297,0.8317757009345794,0.3597122302158273,0.620549226915374,0.515171466663272,0.7081054574824045,0.34138624047891597,890,180,87,75
